TEXT	SONNET NUMBER	LINE
From fairest creatures we desire increase	1	1
That thereby beauty's rose might never die	1	2
But as the riper should by time decease	1	3
His tender heir might bear his memory	1	4
But thou contracted to thine own bright eyes	1	5
Feed'st thy light's flame with self-substantial fuel	1	6
Making a famine where abundance lies	1	7
Thy self thy foe to thy sweet self too cruel	1	8
Thou that art now the world's fresh ornament	1	9
And only herald to the gaudy spring	1	10
Within thine own bud buriest thy content	1	11
And tender churl mak'st waste in niggarding	1	12
Pity the world or else this glutton be	1	13
To eat the world's due by the grave and thee	1	14
When forty winters shall besiege thy brow	2	1
And dig deep trenches in thy beauty's field	2	2
Thy youth's proud livery so gazed on now	2	3
Will be a tatter'd weed of small worth held	2	4
Then being asked where all thy beauty lies	2	5
Where all the treasure of thy lusty days	2	6
To say within thine own deep sunken eyes	2	7
Were an all-eating shame and thriftless praise	2	8
How much more praise deserv'd thy beauty's use	2	9
If thou couldst answer This fair child of mine	2	10
Shall sum my count and make my old excuse	2	11
Proving his beauty by succession thine	2	12
This were to be new made when thou art old	2	13
And see thy blood warm when thou feel'st it cold	2	14
Look in thy glass and tell the face thou viewest	3	1
Now is the time that face should form another	3	2
Whose fresh repair if now thou not renewest	3	3
Thou dost beguile the world unbless some mother	3	4
For where is she so fair whose unear'd womb	3	5
Disdains the tillage of thy husbandry	3	6
Or who is he so fond will be the tomb	3	7
Of his self-love to stop posterity	3	8
Thou art thy mother's glass and she in thee	3	9
Calls back the lovely April of her prime	3	10
So thou through windows of thine age shalt see	3	11
Despite of wrinkles this thy golden time	3	12
But if thou live remember'd not to be	3	13
Die single and thine image dies with thee	3	14
Unthrifty loveliness why dost thou spend	4	1
Upon thy self thy beauty's legacy	4	2
Nature's bequest gives nothing but doth lend	4	3
And being frank she lends to those are free	4	4
Then beauteous niggard why dost thou abuse	4	5
The bounteous largess given thee to give	4	6
Profitless usurer why dost thou use	4	7
So great a sum of sums yet canst not live	4	8
For having traffic with thy self alone	4	9
Thou of thy self thy sweet self dost deceive	4	10
Then how when nature calls thee to be gone	4	11
What acceptable audit canst thou leave	4	12
Thy unused beauty must be tombed with thee	4	13
Which used lives th executor to be	4	14
Those hours that with gentle work did frame	5	1
The lovely gaze where every eye doth dwell	5	2
Will play the tyrants to the very same	5	3
And that unfair which fairly doth excel	5	4
For never-resting time leads summer on	5	5
To hideous winter and confounds him there	5	6
Sap checked with frost and lusty leaves quite gone	5	7
Beauty o'er-snowed and bareness every where	5	8
Then were not summer's distillation left	5	9
A liquid prisoner pent in walls of glass	5	10
Beauty's effect with beauty were bereft	5	11
Nor it nor no remembrance what it was	5	12
But flowers distill'd though they with winter meet	5	13
Leese but their show their substance still lives sweet	5	14
Then let not winter's ragged hand deface	6	1
In thee thy summer ere thou be distill'd	6	2
Make sweet some vial treasure thou some place	6	3
With beauty's treasure ere it be self-kill'd	6	4
That use is not forbidden usury	6	5
Which happies those that pay the willing loan	6	6
That's for thy self to breed another thee	6	7
Or ten times happier be it ten for one	6	8
Ten times thy self were happier than thou art	6	9
If ten of thine ten times refigur'd thee	6	10
Then what could death do if thou shouldst depart	6	11
Leaving thee living in posterity	6	12
Be not self-will'd for thou art much too fair	6	13
To be death's conquest and make worms thine heir	6	14
Lo in the orient when the gracious light	7	1
Lifts up his burning head each under eye	7	2
Doth homage to his new-appearing sight	7	3
Serving with looks his sacred majesty	7	4
And having climb'd the steep-up heavenly hill	7	5
Resembling strong youth in his middle age	7	6
Yet mortal looks adore his beauty still	7	7
Attending on his golden pilgrimage	7	8
But when from highmost pitch with weary car	7	9
Like feeble age he reeleth from the day	7	10
The eyes fore duteous now converted are	7	11
From his low tract and look another way	7	12
So thou thyself outgoing in thy noon	7	13
Unlook'd on diest unless thou get a son	7	14
Music to hear why hear'st thou music sadly	8	1
Sweets with sweets war not joy delights in joy	8	2
